yearID,processID,pollutantID,inventory,activity,emissionRate,massUnits,distanceUnits,startUnits,rateUnits
2018,1,2,7723948370,,0.004199152,kg,mi,start,kg/mi
2018,1,3,682084296.1,,0.000370818,kg,mi,start,kg/mi
2018,1,87,299414072.6,,0.000162778,kg,mi,start,kg/mi
2018,1,90,7.69998E+11,,0.418612144,kg,mi,start,kg/mi
2018,1,91,10395061011,,0.005651312,MMBTU,mi,start,MMBTU/mi
2018,1,98,7.72938E+11,,0.420210509,kg,mi,start,kg/mi
2018,1,100,85251803.46,,4.63474E-05,kg,mi,start,kg/mi
2018,1,110,20116099.29,,1.09362E-05,kg,mi,start,kg/start
2018,2,2,2668664599,,0.001450829,kg,mi,start,kg/start
2018,2,3,184107032.1,,0.00010009,kg,mi,start,kg/start
2018,2,87,224719884.2,,0.00012217,kg,mi,start,kg/start
2018,2,90,35707929871,,0.019412742,kg,mi,start,kg/start
2018,2,91,498274441.1,,0.000270889,MMBTU,mi,start,MMBTU/mi
2018,2,98,41109521012,,0.022349337,kg,mi,start,kg/start
2018,2,100,6080252.014,,3.30555E-06,kg,mi,start,kg/start
2018,2,110,5381636.692,,2.92575E-06,kg,mi,start,kg/start
2019,1,2,7308638769,,0.00391763,kg,mi,start,kg/start
2019,1,3,574642340.8,,0.000308024,kg,mi,start,kg/start
2019,1,87,267590536,,0.000143436,kg,mi,start,kg/start
2019,1,90,7.61752E+11,,0.408319996,kg,mi,start,kg/start
2019,1,91,10283906025,,0.005512454,MMBTU,mi,start,MMBTU/mi
2019,1,98,7.64433E+11,,0.409756804,kg,mi,start,kg/start
2019,1,100,85367832.46,,4.57595E-05,kg,mi,start,kg/start
2019,1,110,19415273.89,,1.04071E-05,kg,mi,start,kg/start
2019,2,2,2484788389,,0.001331914,kg,mi,start,kg/start
2019,2,3,170010687.1,,9.11304E-05,kg,mi,start,kg/start
2019,2,87,208581560.9,,0.000111805,kg,mi,start,kg/start
2019,2,90,35508181017,,0.019033354,kg,mi,start,kg/start
2019,2,91,495464542.7,,0.000265583,MMBTU,mi,start,MMBTU/mi
2019,2,98,40571091437,,0.021747212,kg,mi,start,kg/start
2019,2,100,6241546.884,,3.34564E-06,kg,mi,start,kg/start
2019,2,110,5524305.687,,2.96118E-06,kg,mi,start,kg/start
2020,1,2,6814836251,,0.003614481,kg,mi,start,kg/start
2020,1,3,498738581.9,,0.000264523,kg,mi,start,kg/start
2020,1,87,237929776.6,,0.000126194,kg,mi,start,kg/start
2020,1,90,7.50816E+11,,0.398220747,kg,mi,start,kg/start
2020,1,91,10136330514,,0.005376149,MMBTU,mi,start,MMBTU/mi
2020,1,98,7.53259E+11,,0.399516703,kg,mi,start,kg/start
2020,1,100,85282324.58,,4.52324E-05,kg,mi,start,kg/start
2020,1,110,18725743.9,,9.93184E-06,kg,mi,start,kg/start
2020,2,2,2301015986,,0.001220422,kg,mi,start,kg/start
2020,2,3,157275213.1,,8.34163E-05,kg,mi,start,kg/start
2020,2,87,189650809.9,,0.000100588,kg,mi,start,kg/start
2020,2,90,35316232510,,0.018731169,kg,mi,start,kg/start
2020,2,91,492755145.8,,0.00026135,MMBTU,mi,start,MMBTU/mi
2020,2,98,40076798452,,0.021256098,kg,mi,start,kg/start
2020,2,100,6368516.684,,3.37776E-06,kg,mi,start,kg/start
2020,2,110,5636627.543,,2.98958E-06,kg,mi,start,kg/start
2021,1,2,6442788336,,0.003390406,kg,mi,start,kg/start
2021,1,3,443478621.7,,0.000233373,kg,mi,start,kg/start
2021,1,87,217278979.2,,0.000114339,kg,mi,start,kg/start
2021,1,90,7.37527E+11,,0.388110604,kg,mi,start,kg/start
2021,1,91,9956747458,,0.005239566,MMBTU,mi,start,MMBTU/mi
2021,1,98,7.39818E+11,,0.389316573,kg,mi,start,kg/start
2021,1,100,84786984.38,,4.46177E-05,kg,mi,start,kg/start
2021,1,110,17822278.62,,9.37866E-06,kg,mi,start,kg/start
2021,2,2,2162241379,,0.001137842,kg,mi,start,kg/start
2021,2,3,147713039.1,,7.77314E-05,kg,mi,start,kg/start
2021,2,87,179759225.1,,9.45952E-05,kg,mi,start,kg/start
2021,2,90,35173794114,,0.018509599,kg,mi,start,kg/start
2021,2,91,490735808.5,,0.000258241,MMBTU,mi,start,MMBTU/mi
2021,2,98,39700496735,,0.020891697,kg,mi,start,kg/start
2021,2,100,6443740.138,,3.39091E-06,kg,mi,start,kg/start
2021,2,110,5703177.216,,3.0012E-06,kg,mi,start,kg/start
2022,1,2,6183386512,,0.003233117,kg,mi,start,kg/start
2022,1,3,395242067.1,,0.000206661,kg,mi,start,kg/start
2022,1,87,202111310.9,,0.000105678,kg,mi,start,kg/start
2022,1,90,7.24808E+11,,0.37898135,kg,mi,start,kg/start
2022,1,91,9784938659,,0.005116267,MMBTU,mi,start,MMBTU/mi
2022,1,98,7.26976E+11,,0.380115279,kg,mi,start,kg/start
2022,1,100,84690213.21,,4.42821E-05,kg,mi,start,kg/start
2022,1,110,17353415.44,,9.07361E-06,kg,mi,start,kg/start
2022,2,2,2039770300,,0.001066538,kg,mi,start,kg/start
2022,2,3,139199338.9,,7.27834E-05,kg,mi,start,kg/start
2022,2,87,170762635.8,,8.92869E-05,kg,mi,start,kg/start
2022,2,90,35064171140,,0.018334061,kg,mi,start,kg/start
2022,2,91,489173884.4,,0.000255775,MMBTU,mi,start,MMBTU/mi
2022,2,98,39384561768,,0.02059307,kg,mi,start,kg/start
2022,2,100,6618811.655,,3.46079E-06,kg,mi,start,kg/start
2022,2,110,5858076.21,,3.06302E-06,kg,mi,start,kg/start
2023,1,2,5906446535,,0.003074757,kg,mi,start,kg/start
2023,1,3,351662169.2,,0.000183067,kg,mi,start,kg/start
2023,1,87,187722717.3,,9.7724E-05,kg,mi,start,kg/start
2023,1,90,7.10742E+11,,0.369995553,kg,mi,start,kg/start
2023,1,91,9594880517,,0.004994869,MMBTU,mi,start,MMBTU/mi
2023,1,98,7.12796E+11,,0.371064974,kg,mi,start,kg/start
2023,1,100,84511992.4,,4.3995E-05,kg,mi,start,kg/start
2023,1,110,16928637.77,,8.81265E-06,kg,mi,start,kg/start
2023,2,2,1925036329,,0.001002129,kg,mi,start,kg/start
2023,2,3,131547775.6,,6.84807E-05,kg,mi,start,kg/start
2023,2,87,162364681.8,,8.45232E-05,kg,mi,start,kg/start
2023,2,90,35002164235,,0.018221304,kg,mi,start,kg/start
2023,2,91,488275301.1,,0.000254185,MMBTU,mi,start,MMBTU/mi
2023,2,98,39140521954,,0.020375636,kg,mi,start,kg/start
2023,2,100,6803632.476,,3.54181E-06,kg,mi,start,kg/start
2023,2,110,6021641.585,,3.13473E-06,kg,mi,start,kg/start
2024,1,2,5626910955,,0.002919534,kg,mi,start,kg/start
2024,1,3,289460345.3,,0.000150187,kg,mi,start,kg/start
2024,1,87,167331878.3,,8.68205E-05,kg,mi,start,kg/start
2024,1,90,6.96647E+11,,0.361456852,kg,mi,start,kg/start
2024,1,91,9404431819,,0.004879508,MMBTU,mi,start,MMBTU/mi
2024,1,98,6.98527E+11,,0.362432352,kg,mi,start,kg/start
2024,1,100,84367728.7,,4.37744E-05,kg,mi,start,kg/start
2024,1,110,16599752.67,,8.61281E-06,kg,mi,start,kg/start
2024,2,2,1815723329,,0.000942092,kg,mi,start,kg/start
2024,2,3,124515411.6,,6.46051E-05,kg,mi,start,kg/start
2024,2,87,154374100.4,,8.00973E-05,kg,mi,start,kg/start
2024,2,90,35013284151,,0.018166711,kg,mi,start,kg/start
2024,2,91,488399894.5,,0.000253407,MMBTU,mi,start,MMBTU/mi
2024,2,98,38954925771,,0.020211839,kg,mi,start,kg/start
2024,2,100,6906123.274,,3.58326E-06,kg,mi,start,kg/start
2024,2,110,6112340.424,,3.1714E-06,kg,mi,start,kg/start
2025,1,2,5335752912,,0.002759352,kg,mi,start,kg/start
2025,1,3,251088753.6,,0.000129849,kg,mi,start,kg/start
2025,1,87,154758713.9,,8.00325E-05,kg,mi,start,kg/start
2025,1,90,6.82888E+11,,0.353151391,kg,mi,start,kg/start
2025,1,91,9218490045,,0.004767286,MMBTU,mi,start,MMBTU/mi
2025,1,98,6.84631E+11,,0.354052535,kg,mi,start,kg/start
2025,1,100,84041316.3,,4.34615E-05,kg,mi,start,kg/start
2025,1,110,16106091.97,,8.32917E-06,kg,mi,start,kg/start
2025,2,2,1717979968,,0.000888443,kg,mi,start,kg/start
2025,2,3,118277180,,6.11663E-05,kg,mi,start,kg/start
2025,2,87,147037468.8,,7.60395E-05,kg,mi,start,kg/start
2025,2,90,35054276026,,0.018128107,kg,mi,start,kg/start
2025,2,91,488938508.5,,0.000252852,MMBTU,mi,start,MMBTU/mi
2025,2,98,38820816580,,0.020075951,kg,mi,start,kg/start
2025,2,100,7023614.144,,3.63222E-06,kg,mi,start,kg/start
2025,2,110,6216388.464,,3.21477E-06,kg,mi,start,kg/start
2026,1,2,5012265490,,0.002573848,kg,mi,start,kg/start
2026,1,3,202577310.2,,0.000104025,kg,mi,start,kg/start
2026,1,87,129658188.7,,6.65808E-05,kg,mi,start,kg/start
2026,1,90,6.7201E+11,,0.345083767,kg,mi,start,kg/start
2026,1,91,9071463455,,0.004658286,MMBTU,mi,start,MMBTU/mi
2026,1,98,6.73636E+11,,0.345918508,kg,mi,start,kg/start
2026,1,100,84116557.85,,4.31947E-05,kg,mi,start,kg/start
2026,1,110,15748649.1,,8.08709E-06,kg,mi,start,kg/start
2026,2,2,1570558435,,0.000806497,kg,mi,start,kg/start
2026,2,3,111075894.8,,5.70386E-05,kg,mi,start,kg/start
2026,2,87,136793574.5,,7.02448E-05,kg,mi,start,kg/start
2026,2,90,35065655041,,0.018006559,kg,mi,start,kg/start
2026,2,91,489064999,,0.00025114,MMBTU,mi,start,MMBTU/mi
2026,2,98,38698206632,,0.01987191,kg,mi,start,kg/start
2026,2,100,7150175.818,,3.67169E-06,kg,mi,start,kg/start
2026,2,110,6328446.528,,3.24972E-06,kg,mi,start,kg/start
2027,1,2,4774051883,,0.002433683,kg,mi,start,kg/start
2027,1,3,177646701.9,,9.05595E-05,kg,mi,start,kg/start
2027,1,87,121123706.3,,6.17456E-05,kg,mi,start,kg/start
2027,1,90,6.62701E+11,,0.337827094,kg,mi,start,kg/start
2027,1,91,8945601003,,0.004560227,MMBTU,mi,start,MMBTU/mi
2027,1,98,6.6426E+11,,0.338621928,kg,mi,start,kg/start
2027,1,100,84217498.59,,4.29318E-05,kg,mi,start,kg/start
